,urls,status_code,tinken_title,tinken_model,key,value,breadcrumb,data_sheet
58,https://www.mrosupply.com/clutches-and-brakes/2130486_108232400fbb_stearns/,200,Stearns 108232400FBB Brake Assembly-STD 193392,MODEL 108232400FBB,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
59,https://www.mrosupply.com/clutches-and-brakes/2130577_108261200018_stearns/,200,STEARNS 108261200018 BRKVA SPL ENDPLATE-IT 194826,MODEL 108261200018,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
60,https://www.mrosupply.com/clutches-and-brakes/2130603_108264200rlb_stearns/,200,Stearns 108264200RLB Brake Assembly-STD-IT 8026943,MODEL 108264200RLB,[],[],"['Clutches and Brakes', 'Magnetic Clutches & Brakes', 'Magnetic Brakes']",
61,https://www.mrosupply.com/clutches-and-brakes/2130745_108603202015_stearns/,200,STEARNS 108603202015 BRAKE ASSY-STD 8015697,MODEL 108603202015,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
62,https://www.mrosupply.com/clutches-and-brakes/2130884_108664200007_stearns/,200,STEARNS 108664200007 BRK-MISC MDS-NWPRT NWS-IT 8027064,MODEL 108664200007,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
63,https://www.mrosupply.com/clutches-and-brakes/2128057_108101102enf_stearns/,200,Stearns 108101102ENF Brake Assembly-STD 8094369,MODEL 108101102ENF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
64,https://www.mrosupply.com/clutches-and-brakes/2128044_1081011w2hqf_stearns/,200,Stearns 1081011W2HQF Brake Assembly-INT 8026108,MODEL 1081011W2HQF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
65,https://www.mrosupply.com/clutches-and-brakes/2128293_108101202101_stearns/,200,STEARNS 108101202101 BR-RL TACH MACHSPLN HUB 8003694,MODEL 108101202101,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
66,https://www.mrosupply.com/clutches-and-brakes/2128380_1081021a2hqf_stearns/,200,Stearns 1081021A2HQF Brake Assembly-INT 8040108,MODEL 1081021A2HQF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
67,https://www.mrosupply.com/clutches-and-brakes/2129722_108203202063_stearns/,200,STEARNS 108203202063 BRK-RL TACH MACHRL SEAL 8005479,MODEL 108203202063,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
68,https://www.mrosupply.com/clutches-and-brakes/2129879_108204102004_stearns/,200,STEARNS 108204102004 BRK-MISC MODS-LECTROMELT 8026686,MODEL 108204102004,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
69,https://www.mrosupply.com/clutches-and-brakes/2130187_108204602fuf_stearns/,200,Stearns 108204602FUF Brake Assembly-STD 213110,MODEL 108204602FUF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
70,https://www.mrosupply.com/clutches-and-brakes/2130721_108603102042_stearns/,200,STEARNS 108603102042 RL TACH MACHLESS HUB 224976,MODEL 108603102042,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
71,https://www.mrosupply.com/clutches-and-brakes/2130777_108604102lmf_stearns/,200,Stearns 108604102LMF Brake Assembly-STD 8028660,MODEL 108604102LMF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
72,https://www.mrosupply.com/clutches-and-brakes/2142315_501141309_stearns/,200,STEARNS 501141309 M.B.& COIL ASSY 247-285V 8031996,MODEL 501141309,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
73,https://www.mrosupply.com/clutches-and-brakes/2142329_501161507_stearns/,200,STEARNS 501161507 M.B./COIL 16E 115V CL H 8072075,MODEL 501161507,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
74,https://www.mrosupply.com/clutches-and-brakes/2128059_108101102fef_stearns/,200,Stearns 108101102FEF Brake Assembly-STD 8026113,MODEL 108101102FEF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
75,https://www.mrosupply.com/clutches-and-brakes/2128256_108101202053_stearns/,200,STEARNS 108101202053 VAFUL SRPROXHTRSTNL P 8066740,MODEL 108101202053,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
76,https://www.mrosupply.com/clutches-and-brakes/2128640_108102202071_stearns/,200,STEARNS 108102202071 VASTLNHTNEO GSKTNOHUB 8070247,MODEL 108102202071,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
77,https://www.mrosupply.com/clutches-and-brakes/2128560_1081022i2nqf_stearns/,200,Stearns 1081022I2NQF Brake Assembly-INT 8087693,MODEL 1081022I2NQF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
78,https://www.mrosupply.com/clutches-and-brakes/2128972_108103202096_stearns/,200,STEARNS 108103202096 SVR-BRK-INTERNAL RELEASE 8030319,MODEL 108103202096,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
79,https://www.mrosupply.com/clutches-and-brakes/2129172_108201202050_stearns/,200,STEARNS 108201202050 BRK-RL MCHVERT ARL SEAL 8026460,MODEL 108201202050,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
80,https://www.mrosupply.com/clutches-and-brakes/2129336_108202102072_stearns/,200,STEARNS 108202102072 BRK-CARRIER RINGHTR 120V 8006884,MODEL 108202102072,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
81,https://www.mrosupply.com/clutches-and-brakes/2129739_108203202084_stearns/,200,STEARNS 108203202084 BRK-TACH MACH & WARN SW 8013952,MODEL 108203202084,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
82,https://www.mrosupply.com/clutches-and-brakes/2129659_1082032i2nqf_stearns/,200,Stearns 1082032I2NQF Brake Assembly-INT 8045967,MODEL 1082032I2NQF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
83,https://www.mrosupply.com/clutches-and-brakes/2129833_1082041w2jqf_stearns/,200,Stearns 1082041W2JQF Brake Assembly-INT 140333,MODEL 1082041W2JQF,[],[],"['Clutches and Brakes', 'Magnetic Clutches & Brakes', 'Magnetic Brakes']",
